         77557986 function calls (17870 primitive calls) in 18.818 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/selectors.py:216(_fileobj_lookup)
       13    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/coordinator/consumer.py:190(_auto_assign_all_partitions)
       18    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/client_async.py:1011(poll_expired_connection)
        5    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/selectors.py:181(get_key)
     12/5    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/types.py:193(<listcomp>)
       70    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       30    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/consumer/subscription_state.py:389(_set_position)
        1    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/conn.py:906(close)
       18    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/selectors.py:276(_key_from_fd)
        1    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/json/encoder.py:204(iterencode)
        2    0.000    0.000    0.001    0.000 /opt/conda/lib/python3.10/site-packages/kafka/conn.py:1515(dns_lookup)
       30    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/kafka_metric.py:8(__init__)
       90    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       50    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        5    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/client_async.py:260(_can_connect)
      7/4    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/future.py:31(success)
       20    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/types.py:45(encode)
       12    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/threading.py:264(__enter__)
       49    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/conn.py:1417(_address_family)
        3    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/contextlib.py:139(__exit__)
      9/5    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/types.py:186(<listcomp>)
       17    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/client_async.py:725(<listcomp>)
        1    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/consumer/fetcher.py:352(_append)
       90    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/record/legacy_records.py:319(value)
       30    0.000    0.000    0.000    0.000 {method 'unpack_from' of '_struct.Struct' objects}
       12    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/threading.py:90(RLock)
       30    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/record/legacy_records.py:289(__init__)
        9    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/threading.py:1102(_wait_for_tstate_lock)
       12    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        4    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/struct.py:50(<listcomp>)
        4    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/parser.py:180(_reset_buffer)
        2    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/selectors.py:235(register)
       12    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/collections/__init__.py:420(_make)
        3    0.000    0.000   18.818    6.273 {built-in method builtins.exec}
       60    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/kafka_metric.py:17(metric_name)
       21    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/conn.py:867(connected)
       30    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/stats/sampled_stat.py:25(__init__)
       12    0.000    0.000    0.000    0.000 {method '__copy__' of 'collections.deque' objects}
       15    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/types.py:49(decode)
        3    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/parser.py:28(__init__)
        3    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/client_async.py:395(ready)
       14    0.000    0.000    0.000    0.000 {built-in method math.ceil}
        3    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/contextlib.py:279(helper)
        3    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/contextlib.py:130(__enter__)
        1    0.000    0.000   18.792   18.792 /tmp/ipykernel_290/630567185.py:1(<module>)
        5    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/client_async.py:334(maybe_connect)
        2    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/selectors.py:352(register)
        2    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        3    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/IPython/core/interactiveshell.py:3376(compare)
       17    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        3    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/traitlets/traitlets.py:654(get)
        2    0.000    0.000    0.000    0.000 {method 'register' of 'select.epoll' objects}
       10    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/protocol/struct.py:43(<listcomp>)
       60    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/metrics.py:78(metrics)
        9    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/consumer/fetcher.py:890(__len__)
        2    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/record/memory_records.py:42(__init__)
       15    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/metrics/stats/rate.py:40(__init__)
        2    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/consumer/fetcher.py:925(record)
        1    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/consumer/fetcher.py:587(_handle_offset_response)
       60    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 /opt/conda/lib/python3.10/site-packages/kafka/conn.py:1302(__str__)
